GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Barcode,Scan_MLB_SN,Scan DUT serial number,apply,,,,,,,,
Fixture_Initialization,Fixture_ID,Get the fixture ID,apply,,,,,,,,
Fixture_Initialization,Vendor_ID,Get the vendor ID,apply,,,,,,,,
Fixture_Initialization,Fixture_FW_Version,Get the fixtrure FW Version,apply,,,,,,,,
Power_Tree,FIX_MCU_RST_L_HOLD,Short MCU_RST_L to Ground,apply,,0,MCU_RST_L,,,,,
Power_Tree,FIX_W2_RST_L_HOLD,Short W2_RST_L to Ground,apply,,0,W2_RST_L,,,,,
Power_Tree,FIX_L50_RST_L_HOLD,Short L50_RST_L to Ground,apply,,0,L50_RST_L,,,,,
Power_Tree,FIX_SET_PP_VBATT_3V8,Set PP_VBATT to 3.8V,apply,,3.8,PP_VBATT,,,,,
Power_Tree,PP_VBATT_VOLT,measure the volt of PP_VBATT_VOLT,measure_v,,,PP_VBATT_V,V,3.7,3.9,,
Power_Tree,FIX_EL_DISABLE,Disable Eload ,eload,,0,EL_EN,,,,,
Power_Tree,PP_BERYL_VDD_1V5,measure the volt of PP_BERYL_VDD_1V5,measure_v,,,PP_BERYL_VDD_1V5_V,V,1.4,1.6,,
Power_Tree,PP_VDD_PRE_MAIN,measure the volt of PP_PRE_VDDMAIN,measure_v,,,PP_PRE_VDDMAIN_V,V,3.7,3.9,,
Power_Tree,PP_VDD_MAIN,measure the volt of PP_VDDMAIN,measure_v,,,PP_VDDMAIN_V,V,3.7,3.9,,
Power_Tree,PP_0V73_BUCK0,measure the volt of PP_A1_0V73_BUCK0,measure_v,,,PP_A1_0V73_BUCK0,V,0.63,0.83,,
Power_Tree,PP_0V85_BUCK1,measure the volt of PP_A1_0V85_BUCK1,measure_v,,,PP_A1_0V85_BUCK1,V,0.75,0.95,,
Power_Tree,PP_1V2_BUCK2,measure the volt of PP_A1_1V2_BUCK2,measure_v,,,PP_A1_1V2_BUCK2,V,1.1,1.3,,
Power_Tree,PP_1V8_BUCK3,measure the volt of PP_HO_1V8_BUCK3,measure_v,,,PP_HO_1V8_BUCK3,V,1.7,1.9,,
Power_Tree,PP_1V8_LDO0,measure the volt of PP_A1_1V8_LDO0,measure_v,,,PP_A1_1V8_LDO0,V,1.7,1.9,,
Power_Tree,PP_1V2_LDO1,measure the volt of PP_A1_1V2_LDO1,measure_v,,,PP_A1_1V2_LDO1,V,1.1,1.3,,
Power_Tree,PP_1V2_LDO2,measure the volt of PP_A3_1V2_LDO2,measure_v,,,PP_A3_1V2_LDO2,V,1.1,1.3,,
Power_Tree,PP_1V8_LDO3,measure the volt of PP_A3_1V8_LDO3,measure_v,,,PP_A3_1V8_LDO3,V,1.7,1.9,,
Power_Tree,PP_3V3_BUBO0,measure the volt of PP_XX_3V3_BUBO0,measure_v,,,PP_XX_3V3_BUBO0,V,3.2,3.4,,
Power_Tree,PP_2V1_BUCK4,measure the volt of PP_A1_1V8_LDO0,measure_v,,,PP_A1_1V8_LDO0,V,2,2.2,,
Power_Tree,PP_1V2_BUCK5,measure the volt of  PP_A0_1V2_BUCK5,measure_v,,, PP_A0_1V2_BUCK5,V,1.1,1.3,,
Power_Tree,PP_BERYL_VDDMAIN,measure the volt of PP_SH_4V5_LDO4,measure_v,,,PP_SH_4V5_LDO4,V,3.7,3.9,,
Power_Tree,PP_3V3_LDO6,measure the volt of PP_XX_3V3_LDO6,measure_v,,,PP_XX_3V3_LDO6,V,3.2,3.4,,
Power_Tree,PP_1V8_LDO7,measure the volt of  PP_SH_1V8_LDO7,measure_v,,, PP_SH_1V8_LDO7,V,1.7,1.9,,
Power_Tree,PP_3V0_LDO8,measure the volt of PP_A0_3V0_LDO8,measure_v,,,PP_A0_3V0_LDO8,V,2.9,3.1,,
Power_Tree,PP_1V8_LDO11,measure the volt of PP_A3_1V8_LDO11,measure_v,,,PP_A3_1V8_LDO11,V,1.7,1.9,,
Power_Tree,PP_1V8_LS0,measure the volt of  PP_A0_1V8_LS0,measure_v,,, PP_A0_1V8_LS0,V,1.7,1.9,,
Power_Tree,PP_1V8_LS1,measure the volt of PP_A0_1V8_LS1,measure_v,,,PP_A0_1V8_LS1,V,1.7,1.9,,
Power_Tree,PP_TRISTAR_1V8,measure the volt of PP_TRISTAR_1V8,measure_v,,,PP_TRISTAR_1V8,V,1.7,1.9,,
Power_Tree,FIX_EL_ENABLE,,eload,,1,EL_EN,,,,,
Power_Tree,FIX_SET_PP_VDD_PRE_MAIN_EL_100MA,connect 100ma eload to PP_PRE_VDDMAIN,eload,,0.1,PP_PRE_VDDMAIN_EL,V,,,,
Power_Tree,PP_VDD_PRE_MAIN_EL,measure the volt of PP_PRE_VDDMAIN,measure_v,,0.1,PP_PRE_VDDMAIN_EL,V,3.7,3.9,,
Power_Tree,PP_VDD_MAIN_EL,measure the volt of PP_VDDMAIN,measure_v,,,PP_VDDMAIN,V,3.7,3.9,,
